Material;Centro;Tipo de avaliação;Texto breve de material;Última modificação;Tipo de material;Grupo de mercadorias;Unid.medida básica;Grupo de compradores;Código ABC;Tipo de MRP;Classe de avaliação;Controle de preço;Preço;Moeda;Unidade preço;Criado por;Centro Origem
10000252;D050;;SOL KIT NORPRENO P/SLIDEINK HEMOGRAM;22/04/2020;ZROH;AC;KIT;056;C;ND;3020;V;0,00;BRL;1;C29407541878;D043
10000254;D050;;PONT FILT MOD EP TIPS PCR 50UL EPPENDORF;19/05/2020;ZROH;AC;CX;056;C;ZM;3000;V;930,50;BRL;1;C29407541878;D474
10000255;D050;;TB VAC S/ADITIVO PREMIUM 6ML GBO;20/05/2020;ZROH;MAT MED;UN;056;C;VV;3020;V;0,33;BRL;1;C29407541878;P001
10000261;D050;;FR PLAST ROSC LACRE C/TP 150ML;21/05/2020;ZROH;MAT MED;UN;056;C;ZM;3020;V;2,74;BRL;1;C29407541878;D295
10000277;D050;;COL URINA C/TP VM ESTL CRAL;20/05/2020;ZROH;MAT MED;UN;056;A;VV;3020;V;0,44;BRL;1;C29407541878;D346
10000279;D050;;SOL LIMP OWERN KOLLER 600T 24X15ML STAGO;19/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;96,24;BRL;1;C29407541878;D019
10000282;D050;;ANTICORP SERIG DIANA A1/B C/2 110T 10ML;18/05/2020;ZROH;AC;FR;056;B;ZM;3000;V;0,00;BRL;1;C29407541878;D093
10000288;D050;;CATETER INTRAV INSYTE 1.88 18G BD;04/05/2020;ZROH;MAT MED;UN;056;C;ND;3020;V;21,68;BRL;1;C29407541878;D096
10000296;D050;;CATETER INTRAV INSYTE 1.16 20G BD;15/05/2020;ZROH;MAT MED;UN;056;B;ND;3020;V;1,99;BRL;1;C29407541878;D177
10000301;D050;;ANTICORP CD59 PE 100T XBIO;03/04/2020;ZROH;AC;FR;056;C;ZM;3000;V;998,55;BRL;1;C29407541878;D492
10000303;D050;;ANTIC FLAER ALEX 488FL 100T CEDARLINE;27/04/2020;ZROH;AC;FR;056;C;PD;3000;V;2.853,40;BRL;1;C29407541878;D492
10000310;D050;;RGT COLINESTERASE COBAS 200T ROCHE;01/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;44,91;BRL;1;C29407541878;D474
10000311;D050;;CLOREXID ALCOOLICA 0.5% 30ML;15/05/2020;ZROH;AC;FR;056;B;VV;3020;V;3,12;BRL;1;C29407541878;D019
10000312;D050;;ANTICORP CD235 FITC CLONE COULTER;03/04/2020;ZROH;AC;FR;056;;ZM;3000;V;1.068,14;BRL;1;C29407541878;D492
10000315;D050;;RGT PROTEINA U/CSF ELEC 408T ROCHE;20/04/2020;ZROH;AC;KIT;070;C;ND;3000;V;70,66;BRL;1;C29407541878;D491
10000317;D050;;RGT ESTRADIOL II ELEC 100T ROCHE;22/04/2020;ZROH;AC;KIT;070;C;ND;3000;V;0,00;BRL;1;C29407541878;D491
10000319;D050;;MANGUIT P ADUL PVC S/CONEC CARDIOS;15/05/2020;ZROH;RDI;UN;056;C;ZM;3020;V;103,68;BRL;1;C29407541878;D123
10000320;D050;;MANGUIT G ADUL PVC S/CONEC CARDIOS;18/05/2020;ZROH;RDI;UN;056;C;ZM;3020;V;103,68;BRL;1;C29407541878;D094
10000324;D050;;RGT CLORETO CALCIO C/24 6000T 15ML STAGO;20/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;91,75;BRL;1;C29407541878;D648
10000326;D050;;MANGUIT GG ADUL PVC S/CONEC CARDIOS;18/05/2020;ZROH;RDI;UN;056;C;ZM;3020;V;133,92;BRL;1;C29407541878;D043
10000329;D050;;RGT LDHI2 LACTATO COBAS 300T ROCHE;20/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;17,98;BRL;1;C29407541878;D050
10000332;D050;;CATETER INTRAV INSYTE 1.00 22G BD;15/05/2020;ZROH;MAT MED;UN;056;C;ND;3020;V;2,00;BRL;1;C29407541878;D091
10000334;D050;;RGT MIOGLOBINA ELEC 100T ROCHE;01/05/2020;ZROH;AC;KIT;070;C;ZM;3000;V;0,00;BRL;1;C29407541878;D480
10000337;D050;;RGT LIPOPROTEINA A INTEGRA 100T ROCHE;22/04/2020;ZROH;AC;KIT;070;C;ND;3000;V;0,00;BRL;1;C29407541878;D386
10000338;D050;;TB CRIST AMBAR 12X75 CRAL;15/05/2020;ZROH;MAT MED;UN;056;C;PD;3020;V;0,08;BRL;1;C29407541878;D316
10000340;D050;;CLB CFAS LPA 100T ROCHE;13/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;392,00;BRL;1;C29407541878;D386
10000342;D050;;ANTICORP MT CD3/CD16+56/CD45/CD19 50T BD;20/04/2020;ZROH;AC;FR;056;A;PD;3000;V;2.060,25;BRL;1;C29407541878;D492
10000345;D050;;RGT PROGESTERONA II ELEC 100T ROCHE;22/04/2020;ZROH;AC;KIT;070;C;ND;3000;V;110,00;BRL;1;C29407541878;D044
10000346;D050;;ANTICORP CD2 FITC 100T COULTER;13/04/2020;ZROH;AC;FR;056;C;PD;3000;V;1.026,00;BRL;1;C29407541878;D492
10000352;D050;;BR BUTILESCOPOLAMINA INJ 20MG/ML;15/05/2020;ZROH;PRÉ-ANALI;UN;056;C;PD;3020;V;1,05;BRL;1;C29407541878;D152
10000353;D050;;ANTICORP ID TB 12X75 DIAMED;13/04/2020;ZROH;AC;KIT;056;C;ZM;3000;V;0,00;BRL;1;C29407541878;X029
10000354;D050;;RGT PROLACTINA II 100T ELEC ROCHE;20/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;88,50;BRL;1;C29407541878;D491
