Material;Texto breve de material;Centro;Nome 1;Depósito;Marc.p/elim.nív.dep.;Lote;Data do vencimento;Unid.medida básica;Utilização livre;Segmento de estoque;Moeda;Val.utiliz.livre;Trânsito e TE;Val.em trâns.e Trf;Em contr.qualidade;Valor verif.qual.;Estq.não disponível;Val.util.restrita;Bloqueado;Val.estoque bloq.;Devoluções;Val.bloq.retorno;Estoque em trânsito;Valor em trânsito;Em transfer.(centro);Val.transf.estoque
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000079475;30/05/2018;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000092267;31/08/2018;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000092712;31/08/2018;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000092715;31/08/2018;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000092930;31/08/2018;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000100048;30/09/2018;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000102428;30/09/2018;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000103981;30/09/2018;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000106199;30/09/2018;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000106856;30/11/2018;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000117548;28/02/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000120127;28/02/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000123091;31/03/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000123285;30/04/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000124747;30/04/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000124750;30/04/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000127002;31/03/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000127096;30/04/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000129266;30/04/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000134875;31/05/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000135374;31/05/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000140016;30/06/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000140017;31/07/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000140290;30/06/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000140612;31/07/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000143062;31/07/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000145884;31/07/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000146228;30/09/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000149771;30/09/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000153864;31/10/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000154788;31/10/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000157822;31/10/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000157931;30/11/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000157951;30/11/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000160148;30/11/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000160344;30/11/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000162208;31/12/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000162843;31/12/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000166568;31/12/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000168059;31/12/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000168103;31/12/2019;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000170255;31/01/2020;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000172164;31/01/2020;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
10000104;SOL PROCELL 2X2L E170 ROCHE;D050;ARMAZEM-BRASILIA;CDD1;;0000177665;29/02/2020;KIT;0;;BRL;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
